id,name,manufacturer,image_url,score
b0591932-7a86-43e7-99c9-147bda6a11b3,"DENｶｰﾊﾞｲﾄﾊﾞｰ ｸﾛｽｶｯﾄ ｽﾀﾝﾀﾞｰﾄﾞ 079 CS 060　32731","ｼｰｱｲ","https://d15ihgh2blymmz.cloudfront.net/uploads/item_image/4562324639657/4562324639657_1.jpg",55
fa5b3421-d912-4658-a69e-d71d6459ae44,"DENｶｰﾊﾞｲﾄﾊﾞｰ ｸﾛｽｶｯﾄ ｽﾀﾝﾀﾞｰﾄﾞ 257 CS 060　32734","ｼｰｱｲ","https://d15ihgh2blymmz.cloudfront.net/uploads/item_image/4562324639695/4562324639695_1.jpg",55
0dbee614-5813-460b-b601-317bb1281bef,"DENｶｰﾊﾞｲﾄﾊﾞｰ ｸﾛｽｶｯﾄ ｽﾀﾝﾀﾞｰﾄﾞ 257 CS 060　32734","ｼｰｱｲ","https://d15ihgh2blymmz.cloudfront.net/uploads/item_image/4562324639695/4562324639695_1.jpg",55
2633d782-4b13-4819-89e6-dc62b8386aad,"DENｶｰﾊﾞｲﾄﾊﾞｰ ｸﾛｽｶｯﾄ ﾌｧｲﾝ 251 CF 060　32724","ｼｰｱｲ","https://d15ihgh2blymmz.cloudfront.net/uploads/item_image/4562324639688/4562324639688_1.jpg",55
08251e2b-6897-473e-a372-61e91c58c83c,"DENｶｰﾊﾞｲﾄﾊﾞｰ ｸﾛｽｶｯﾄ ﾌｧｲﾝ 251 CF 060　32724","ｼｰｱｲ","https://d15ihgh2blymmz.cloudfront.net/uploads/item_image/4562324639688/4562324639688_1.jpg",55
3f7d331a-5dad-4930-aaa5-da04de137f8c,"EASYｶｰﾊﾞｲﾄﾊﾞｰ(FG用) US:No.701 0387","ｼｰｱｲ","https://shop.pdr.co.jp/g_images/series-10690/series-10690_01.jpg",80
bf5cc48d-e83d-4ab7-aca8-697f0d24a108,"EASYｶｰﾊﾞｲﾄﾊﾞｰ(FG用) US:No.701 0387","ｼｰｱｲ","https://shop.pdr.co.jp/g_images/series-10690/series-10690_01.jpg",80
fa503035-c276-4103-842b-60a3802542bc,"EASYｶｰﾊﾞｲﾄﾊﾞｰ(HP用) US:No.702L  123735","ｼｰｱｲ","https://shop.pdr.co.jp/g_images/series-1126/series-1126_01.jpg",80
8bfa7c9a-d181-4c91-8996-6087324febf4,"EASYｶｰﾊﾞｲﾄﾊﾞｰ(HP用) US:No.702L  123735","ｼｰｱｲ","https://shop.pdr.co.jp/g_images/series-1126/series-1126_01.jpg",80
f17e6698-3f23-4961-86bb-c85929313ca5,"EASYｶｰﾊﾞｲﾄﾊﾞｰ(HP用) US:No.703 123736","ｼｰｱｲ","https://shop.pdr.co.jp/g_images/series-1126/series-1126_01.jpg",80
